// 2021/1/8 Go 1.16 tip MacBook Pro(M1: Apple silicon)

4600000 goroutines are created
  1: 5.314208542s
  2: 4.553473458s
  3: 4.558529709s
  4: 4.63516075s
  5: 4.779674s
  6: 4.547871084s
  7: 4.527303917s
  8: 4.568942417s
  9: 4.560128s
 10: 4.641596042s
 11: 4.633414333s
 12: 4.606153125s
 13: 4.545119417s
 14: 4.549147959s
 15: 4.625051709s
 16: 4.54344325s
 17: 4.625607625s
 18: 4.694716833s
 19: 4.596593833s
 20: 7.314147041s
 21: 5.00461225s
 22: 4.528986667s
 23: 4.625630791s
 24: 4.6206385s
 25: 4.582644417s
 26: 4.71065875s
 27: 4.668458417s
 28: 4.572540833s
 29: 7.464959417s
 30: 5.583280041s
 31: 7.303872458s
 32: 7.160896666s
 33: 7.151793666s
 34: 7.96717725s
 35: 9.157663792s
 36: 12.360630042s
 37: 9.274559125s
 38: 9.052459584s
 39: 7.605868833s
 40: 10.1788855s
 41: 8.163124333s
 42: 10.701171791s
 43: 4.653696042s
 44: 4.35039525s
 45: 4.549186958s
 46: 4.400322209s
 47: 4.381510042s
 48: 5.122745875s
 49: 4.298724292s
 50: 4.25206875s
 51: 4.362680417s
 52: 4.400777833s
 53: 4.374416458s
 54: 4.422581833s
 55: 4.395049709s
 56: 4.430998208s
 57: 4.403320542s
 58: 4.407348625s
 59: 4.372076667s
 60: 4.382536584s
 61: 4.458248209s
 62: 4.289680875s
 63: 4.378325208s
 64: 4.328498208s
 65: 4.447337459s
 66: 6.450022833s
 67: 4.207632708s
 68: 4.034150208s
 69: 4.336446375s
 70: 4.192521125s
 71: 4.011432958s
 72: 3.999028583s
 73: 3.982657s
 74: 3.996057417s
 75: 3.968615708s
 76: 4.003133875s
 77: 3.954680417s
 78: 3.962860458s
 79: 4.010807791s
 80: 4.143660583s
 81: 3.948086542s
 82: 3.954847667s
 83: 4.011736958s
 84: 3.9873445s
 85: 3.990531834s
 86: 3.935647334s
 87: 3.997883792s
 88: 4.034925167s
 89: 4.000472458s
 90: 4.093052625s
 91: 4.138591s
 92: 4.117948417s
 93: 4.093044s
 94: 4.04759525s
 95: 4.009452833s
 96: 4.470005708s
 97: 5.220583625s
 98: 3.83404825s
 99: 4.141626917s
100: 4.015702208s
average round trip time = 4990201575 nano seconds
average switching time = 1084 nano seconds
elapsed time for sending 100 values ... 16890564125 nano seconds
