
4600000 goroutines are created
  1: 1.606982523s
  2: 1.525346063s
  3: 1.523695374s
  4: 1.5189656s
  5: 1.525049607s
  6: 1.519249395s
  7: 1.526881994s
  8: 1.519053088s
  9: 1.528080844s
 10: 1.519452136s
 11: 1.525869747s
 12: 1.52482538s
 13: 1.528476684s
 14: 1.519366391s
 15: 1.529129691s
 16: 1.519730377s
 17: 1.530848854s
 18: 1.520814532s
 19: 1.530754484s
 20: 1.518230365s
 21: 1.512486382s
 22: 1.510345122s
 23: 1.5340283s
 24: 1.522392041s
 25: 1.651144707s
 26: 1.760383663s
 27: 1.631225189s
 28: 1.842439285s
 29: 1.610612961s
 30: 1.572272228s
 31: 1.545307787s
 32: 1.570295736s
 33: 1.56775568s
 34: 1.575242285s
 35: 1.569223357s
 36: 1.571001218s
 37: 1.567919974s
 38: 1.57214763s
 39: 1.564340105s
 40: 1.576368501s
 41: 1.563931246s
 42: 1.572014542s
 43: 1.573654844s
 44: 1.569034865s
 45: 1.571021272s
 46: 1.567816937s
 47: 1.569840556s
 48: 1.568900007s
 49: 1.56911413s
 50: 1.569374306s
 51: 1.573279054s
 52: 1.567691467s
 53: 1.566757322s
 54: 1.57204122s
 55: 1.570105267s
 56: 1.566715086s
 57: 2.703904728s
 58: 3.905736844s
 59: 1.567331595s
 60: 1.573972978s
 61: 1.567948679s
 62: 1.574012807s
 63: 1.571874163s
 64: 1.573590343s
 65: 1.584621893s
 66: 1.565989649s
 67: 1.569125013s
 68: 1.572624085s
 69: 1.570051484s
 70: 1.576722722s
 71: 1.581194614s
 72: 1.614469788s
 73: 1.563838842s
 74: 1.572624745s
 75: 1.564706702s
 76: 1.576901077s
 77: 1.560591134s
 78: 1.569833425s
 79: 1.562569994s
 80: 1.567489821s
 81: 1.562170308s
 82: 1.56597965s
 83: 1.567340283s
 84: 1.566940279s
 85: 1.575178749s
 86: 1.564708792s
 87: 1.568199411s
 88: 1.564259805s
 89: 1.567193999s
 90: 1.565274463s
 91: 1.572572534s
 92: 1.564431251s
 93: 1.571898467s
 94: 1.568126613s
 95: 1.577243865s
 96: 1.567258922s
 97: 1.566695188s
 98: 1.563323808s
 99: 1.568468434s
100: 1.564991819s
average round trip time = 1600630111 nano seconds
average switching time = 347 nano seconds
elapsed time for sending 100 values ... 26075465857 nano seconds
elapsed time for sending 100 values ... 26,075,465,857 nano seconds
