2016.6.28 Tip version of Go
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz

4600000 goroutines are created
  1: 1.985725137s
  2: 1.967930891s
  3: 1.908914215s
  4: 1.947192111s
  5: 1.942435989s
  6: 1.980673693s
  7: 1.945062144s
  8: 1.938115783s
  9: 2.878849633s
 10: 3.392778496s
 11: 1.981422867s
 12: 1.918409508s
 13: 2.008330607s
 14: 1.957214332s
 15: 1.915684744s
 16: 1.910649025s
 17: 1.911109483s
 18: 1.940061813s
 19: 1.926353963s
 20: 2.057947565s
 21: 1.928455415s
 22: 1.924102804s
 23: 1.929078348s
 24: 2.026198495s
 25: 1.924404621s
 26: 1.927764828s
 27: 1.911982775s
 28: 1.902834696s
 29: 1.928672003s
 30: 1.952852675s
 31: 1.935648508s
 32: 1.95041759s
 33: 1.939254674s
 34: 1.902309208s
 35: 2.020845257s
 36: 1.922518445s
 37: 1.920299196s
 38: 1.946612842s
 39: 2.003733033s
 40: 2.023390957s
 41: 1.956205766s
 42: 2.003910615s
 43: 1.908244424s
 44: 1.906609365s
 45: 1.906348963s
 46: 1.916375215s
 47: 1.910219188s
 48: 1.921285298s
 49: 1.919502639s
 50: 1.924682315s
 51: 2.046159202s
 52: 1.911688194s
 53: 1.995110205s
 54: 1.949995375s
 55: 2.004007081s
 56: 1.968626053s
 57: 1.93987398s
 58: 1.925927788s
 59: 1.987764426s
 60: 1.925499788s
 61: 1.922498035s
 62: 1.914805142s
 63: 1.928195724s
 64: 1.928775149s
 65: 1.948457482s
 66: 1.916029069s
 67: 1.949448821s
 68: 1.918343841s
 69: 1.904197191s
 70: 1.894050238s
 71: 1.959773159s
 72: 4.795304862s
 73: 1.935401997s
 74: 1.912688328s
 75: 1.926208534s
 76: 1.926515154s
 77: 1.926404735s
 78: 1.938397277s
 79: 1.95105526s
 80: 1.908112087s
 81: 1.899031841s
 82: 1.909629181s
 83: 1.887570758s
 84: 1.896954828s
 85: 1.905795903s
 86: 1.903771305s
 87: 1.913336791s
 88: 1.912492707s
 89: 1.926242403s
 90: 2.06514274s
 91: 1.941906029s
 92: 1.911715648s
 93: 1.919198765s
 94: 1.909559356s
 95: 1.933407211s
 96: 1.927077765s
 97: 1.933118466s
 98: 1.908411235s
 99: 1.911846097s
100: 1.992105489s
average round trip time = 1991772508 nano seconds
average switching time = 432 nano seconds
elapsed time for sending 100 values ... 25865615893 nano seconds
